yield_score,resource_score
1.99828883,1.7236692885714286
1.9982889,1.7236689514285715
1.99828881,1.7236694357142859
1.9982887699999998,1.7236695242857145
1.99828874,1.7236686542857143
1.99828874,1.7236686371428573
1.9982887999999999,1.7236685057142858
1.99828883,1.7236689357142858
1.9982888,1.7236680899999999
1.99828887,1.7236687714285714
1.9982888,1.7236685
1.99828883,1.7236691999999998
1.99828881,1.7236691885714286
1.99828883,1.7236691714285712
1.99828896,1.7236697
1.99828859,1.7236676142857144
1.99828889,1.7236688485714284
1.9982888,1.72366835
1.9982887699999998,1.7236695214285713
1.99828874,1.7236683857142856
